Node,Creation Date,Author,Region
Sten,2003-06-04T19:14:50Z,Vroman,
Stonemason,2006-08-24T20:35:40Z,Stonemad GB,
Sturmtrupp-Pfadfinder,2008-01-02T14:57:51Z,Phips,
Swingjugend,2005-02-14T21:10:37Z,Rama,
Tamuz (kibbutz),2007-10-31T00:39:31Z,S. Craig Wilson,
Typhus,2008-11-21T05:56:43Z,Arcadian,
USSR,2002-02-25T15:43:11Z,Conversion script,
Urban area,2004-06-29T19:40:55Z,136.142.141.195,
Urban kibbutz,2008-03-07T14:53:47Z,Number 57,
Utopian,2003-06-13T20:07:33Z,Evercat,
Wadi Ara,2007-05-07T20:15:51Z,Al Ameer son,
Wanderungen durch die Mark Brandenburg,2012-12-28T21:21:11Z,Yngvadottir,
Völkisch movement,2004-02-08T11:59:21Z,The Anome,
Wandervogel,2004-12-01T07:02:21Z,24.34.144.67,
Westermarck effect,2002-10-04T23:18:20Z,Lir,
White Rose,2002-05-04T19:12:00Z,Danny,
Wild Geese (song),2010-08-07T15:59:31Z,Guidod,
Wir sind des Geyers schwarzer Haufen,2020-11-10T08:28:43Z,CygnetRiver,
Yosef Baratz,2009-05-27T12:56:17Z,Number 57,
Youth village,2006-08-16T14:47:18Z,Michaelas10,
Zionist youth movement,2005-07-20T15:01:23Z,Jnothman,
Talk:Kibbutz,2004-08-26T13:05:31Z,Christofurio,
Template:German Youth Movement,2022-11-16T14:49:21Z,Ffranc,
File:Kibbutz Barkai panorama 01a.jpg,,,
Template:Cooperative types of settlement in Israel,2009-01-24T18:19:32Z,Toussaint,
Template:Israeli administrative jurisdictions,2015-02-19T21:49:16Z,Number 57,
Template talk:Cooperative types of settlement in Israel,2009-01-29T04:56:12Z,Toussaint,
Template talk:Israeli administrative jurisdictions,2017-07-24T17:49:38Z,Tim!,
Category:Articles containing potentially dated statements from 2012,2011-12-29T19:35:17Z,Rich Farmbrough,
Template talk:German Youth Movement,2023-07-30T10:58:17Z,Estopedist1,
Category:Articles with specifically marked weasel-worded phrases from September 2012,2012-08-31T01:19:51Z,AnomieBOT,
Category:Articles with unsourced statements from August 2014,2014-07-31T00:55:56Z,AnomieBOT,
Category:Articles with unsourced statements from April 2009,2009-05-23T02:25:13Z,Rich Farmbrough,
Category:Articles with unsourced statements from August 2016,2016-07-31T00:06:59Z,AnomieBOT,
Category:Articles with disputed statements from July 2019,2019-06-30T00:20:19Z,AnomieBOT,
Category:Articles with unsourced statements from June 2009,2009-05-31T09:11:04Z,Debresser,
Category:Articles with unsourced statements from January 2010,2009-12-31T08:15:12Z,Debresser,
Category:Articles with unsourced statements from June 2016,2016-05-31T01:02:02Z,AnomieBOT,
Category:Articles with unsourced statements from March 2010,2010-03-01T14:21:27Z,Lost on Belmont,
Category:Use Oxford spelling from February 2012,2017-03-24T01:05:38Z,AnomieBOT,
Category:Articles with unsourced statements from September 2012,2012-08-31T01:20:56Z,AnomieBOT,
Portal:Architecture,2005-09-23T16:16:49Z,168.169.105.252,
Category:Articles with unsourced statements from November 2009,2009-10-31T18:18:54Z,Debresser,
Portal:Socialism,2008-02-16T16:03:15Z,Agüeybaná,
Epilepsy,2002-01-20T20:29:58Z,141.219.44.xxx,
Hamas tunnels,2024-01-30T10:28:10Z,ManOnTheMoon92,
Hostage crisis during the Israel–Hamas war,2024-03-26T23:57:11Z,Davide King,
Hostages and Missing Persons Families Forum,2024-02-14T06:42:29Z,The Kip,
List of kidnappings,2002-10-11T05:06:29Z,JeanetteMartin,
Miss Iraq,2015-08-22T17:17:28Z,Nimrod1980,
Shoham,2006-03-17T18:28:19Z,Ynhockey,
Sexual assault,2003-04-29T08:17:39Z,Patrick,
Rachel Goldberg-Pollin,2024-05-08T14:48:35Z,ForsythiaJo,
"Richmond, Virginia",2002-05-24T10:15:20Z,64.26.98.90,
Tourniquet,2007-04-02T23:17:08Z,Gnoble,
Dede Bandaid,2023-11-20T20:01:05Z,Thriley,
New York Observer,2018-07-11T21:45:29Z,Hadal,
Nitzan Mintz,,,
Prestwich,2005-04-08T22:26:49Z,Courtnej,
Public art,2003-09-15T07:30:49Z,Montrealais,
September 11 terrorist attacks,2003-06-18T23:35:37Z,Tristanb,
William & Mary Law School,2008-06-30T06:28:59Z,Jrcla2,
Category:Wikipedia articles needing copy edit from January 2024,2023-12-31T01:18:08Z,AnomieBOT,
Capture of Naama Levy,,,
Chibok schoolgirls kidnapping,2014-04-23T07:12:28Z,Ashishlohorung,
International Women's Day,2003-07-27T19:54:52Z,128.233.151.145,
Israel women's national football team,2006-07-23T05:21:14Z,NYC2TLV,
Jeep,2002-02-25T15:43:11Z,Conversion script,
Margaret Hodge,2004-01-01T14:54:35Z,Morwen,
Ra'anana,2002-06-29T11:15:48Z,212.242.145.230,
Safe room,2006-07-21T13:31:45Z,William Pembroke,
Stephen Crabb,2005-05-11T21:32:41Z,Maltaran,
Viral video,2006-03-18T18:10:57Z,Pixelwerx,
Talk:Kidnapping of Naama Levy,2024-03-09T00:17:57Z,Omnipaedista,
الله أكبر,2012-01-15T14:01:56Z,Kranix,
Ben Gurion University,2004-04-30T17:31:36Z,Itai,
List of ambassadors of China to Israel,2016-12-26T08:16:00Z,Regesta,
Birth name,2005-06-13T17:16:34Z,Yuckfoo,
Dogs in warfare,2006-03-12T17:57:35Z,Ebonius,
Hatchery,2004-12-03T23:29:34Z,Deb,
Killing of Naheda and Samr Anton,2024-05-05T21:09:58Z,Pngdeity,
Palestinian Bedouin,2015-12-17T10:17:55Z,Geezaspeel,
SOS,2002-11-10T00:10:52Z,Kchishol1970,
Sapir Academic College,2008-01-04T00:27:07Z,Star-of-David92,
All Israel News,2023-06-22T19:56:56Z,Ilan Kushner,
Blunt force,2019-06-06T21:17:36Z,Sheila1988,
Blunt trauma,2006-01-15T04:50:59Z,Astronautics~enwiki,
David Lau,2013-06-25T00:03:26Z,Shuki,
Israeli-occupied West Bank,2021-11-27T18:15:25Z,Nableezy,
Israeli settler attacks,2024-04-14T20:48:41Z,Iskandar323,
Malachei HaShalom,,,
Shepherd,2004-12-18T22:07:18Z,SimonP,
Stabbing,2004-04-25T16:16:28Z,63.197.76.221,
Water hose,2008-02-26T02:42:39Z,Altenmann,
Yaakov Dolf,2019-03-13T20:47:59Z,Marloweperel,
Yitzhak Yosef,2009-05-10T02:18:35Z,Ism schism,
File:Israel outline binyamin.png,,,
Module:Location map/data/Israel binyamin,2018-03-20T12:24:13Z,Frietjes,
Archbishop of Westminster,2003-09-18T06:22:26Z,Efghij,
Cardinal (Catholic Church),2001-08-28T18:00:00Z,205.232.67.xxx,
Fleur Hassan-Nahoum,2019-01-07T15:52:12Z,TheGrandInquisitor17,
Roya News,2024-05-05T19:37:11Z,Pngdeity,
Vincent Nichols,2005-07-01T14:55:22Z,Oliverkeenan,
Bild,2003-05-30T21:18:14Z,Mkweise,
Bobby Ghosh,2008-01-12T23:36:19Z,Rockpa,
Bunte,2005-11-02T01:21:26Z,213.23.239.212,
El Tiempo Latino,2012-08-22T09:48:32Z,Solar-Wind,
Focus (German magazine),2006-11-19T11:08:06Z,Heikoh,
Frankfurter Rundschau,2005-01-11T03:31:33Z,Perceval,
Holyrood (magazine),2011-09-16T13:41:47Z,BaMcE,
L'Obs,2024-04-09T17:38:05Z,Mark and inwardly digest,
List of solved missing person cases: post-2000,2018-03-30T10:42:36Z,Shinerunner,
Missouri School of Journalism,2006-01-25T18:06:41Z,Umcjourcomm,
N-tv,2004-08-09T09:17:07Z,Dnh27241,
Pictures of the Year International,2007-02-19T04:06:56Z,Briansmithphoto,
Petrous part of the temporal bone,2006-04-03T15:59:00Z,Arcadian,
Portland Jewish Academy,2016-11-28T23:48:00Z,Another Believer,
Psychological trauma,2004-07-06T13:01:56Z,Erich gasboy,
Ravensburg,2004-07-28T11:34:12Z,Dbachmann,
Social media optimization,2006-08-19T20:53:05Z,Nikolatosic,
Social media propaganda,2018-07-14T05:43:17Z,Jarble,
Srigim,2008-08-07T20:18:00Z,Number 57,
Stuttgarter Zeitung,2009-11-23T14:31:29Z,William Wiltshire~enwiki,
Tattoo artist,2005-12-03T02:48:12Z,68.117.222.12,
Sud Ouest (newspaper),2008-05-03T21:33:09Z,Wilhelmina Will,
The Free Press Journal,2012-02-18T09:15:26Z,Yogesh Khandke,
Wikipedia:Good articles*,2024-03-02T17:33:54Z,Elli,
Amna Nawaz,2018-04-13T02:38:38Z,Declangi,
Andrew Feinberg,2017-05-14T15:41:16Z,Penguins722,
Elina Shirazi,2019-05-28T02:03:12Z,Dorama285,
"Gretna, Louisiana",2002-10-20T22:51:06Z,Ram-Man,
"Harvey, Louisiana",2002-10-20T22:51:12Z,Ram-Man,
Idaho State Journal,2007-04-13T20:28:38Z,Faustus37,
James Longman,2016-10-04T14:21:21Z,Alex078892,
Morning Edition,2003-08-30T08:40:27Z,Scarequotes,
National Security Advisor (United States),2002-03-12T09:58:04Z,134.132.115.250,
Nic Robertson,2005-10-07T23:28:01Z,Fourth Estate,
Press-Register,2005-05-07T20:15:14Z,199.174.147.35,
Storyful,2019-01-22T19:34:51Z,Oceanflynn,
Travel visa,2003-09-28T14:49:26Z,Kaihsu,
WDSU,2005-07-18T14:54:15Z,152.163.100.14,
WVUE-DT,2005-07-17T15:28:10Z,205.188.116.65,
WWL-TV,2005-06-11T21:42:00Z,70.180.77.236,
Adultification bias,2020-02-19T14:31:49Z,Kchishol1970,
Child homicide,2006-07-04T00:26:54Z,Evil Monkey,
Gunshot wound,2007-04-17T12:44:56Z,The Anome,
Hind's Hall (song),2024-05-09T07:14:03Z,Wracking,
Kia,2003-03-31T07:46:56Z,Christopher Mahan,
M830,2007-02-13T23:26:51Z,Sandstig,
Mass homicide,2023-01-06T07:25:20Z,TheXuitts,
Morningside Heights,2003-07-24T02:56:30Z,68.41.183.29,
United Nations Office of the High Commissioner of Human Rights,,,
Module:Location map/data/State of Palestine,2018-03-12T14:20:49Z,Frietjes,
9-1-1,2024-01-30T15:06:03Z,Feminist,
CBS News Chicago,2022-10-17T13:56:48Z,Jrnnf749nrn,
Central Time Zone,2004-02-22T07:06:13Z,Alexwcovington,
Combat knife,2005-10-19T11:24:26Z,212.85.15.83,
Deadly weapon,2004-11-18T02:47:33Z,Alberuni,
Dilawar Syed,2021-03-05T01:36:24Z,Snickers2686,
Hate crime laws in the United States,2006-09-04T03:00:57Z,Ya ya ya ya ya ya,
J. B. Pritzker,2009-11-30T23:59:47Z,JTChicago,
Johnny Diaz,2010-03-25T20:01:49Z,Laraselavka,
LaunchGood,2015-08-24T21:19:42Z,Cjblauvelt,
Life imprisonment in the United States,2008-02-02T05:02:08Z,Eschoir,
Murder in Illinois law,2020-07-14T22:10:18Z,BD2412,
OSV News,2023-03-01T11:44:52Z,Veverve,
"Plainfield Township, Will County, Illinois",2007-02-14T22:03:13Z,Kranar drogin,
Protests on the 2023 Israel–Hamas war,2023-10-20T18:41:30Z,GnocchiFan,
Roman Catholic Diocese of Joliet in Illinois,2005-03-22T22:11:45Z,Gerald Farinas,
Strangulation,2003-05-22T08:19:11Z,Patrick,
Talk radio,2001-05-22T06:01:14Z,Larry Sanger,
The Catholic Review,2009-10-16T11:51:38Z,ADM,
Tzedek Chicago,2022-09-04T14:33:32Z,Bohemian Baltimore,
Will County Sheriff's Office,2013-11-26T06:42:59Z,Mrdc86,
Whitehouse.gov,2007-09-10T00:20:37Z,Wikiman232,
WGN-TV,2003-03-01T02:11:23Z,68.36.152.197,
Wrongful death,2003-08-17T19:53:52Z,Alex756,
Portal:Illinois,2007-06-26T04:48:16Z,Teemu08,
Gynaecology,2002-05-22T17:33:26Z,Mav,
Health worker,2009-04-30T02:20:14Z,Zigger,
UK,2004-10-08T06:01:19Z,Michael Snow,
Westminster Bridge,2003-11-08T19:30:35Z,Morwen,
CT scan,2002-05-01T04:04:17Z,62.253.64.7,
Civil Service Commission (Israel),,,
Court martial,2008-06-07T12:12:04Z,Iamaleopard,
Highway 333 (Israel),2024-02-09T00:08:29Z,Untiforgins,
Jerusalem District Police,2011-07-09T17:50:08Z,MA1988,
Military Police Investigation Unit,,,
Mordechai Kremnitzer,,,
Police Investigation Department (Israel),,,
Rules of engagement,2004-03-31T18:23:42Z,Joseph Dwayne,
Yinon Magal,2015-03-22T17:24:00Z,Number 57,
Dairy farm,2005-08-07T10:04:00Z,Instantnood,
Ahmad Matar,,,
Fahrettin Altun,2020-11-21T16:12:23Z,Jwslubbock,
Gil Hoffman,2018-06-04T09:03:40Z,CarlSerafino,
Haifa School airstrike,2023-12-15T14:55:27Z,Osps7,
Inquirer Group of Companies,2018-09-13T11:23:56Z,Aztegdude,
Ismail Abu Omar,,,
International Press Institute,2004-07-20T18:55:59Z,12.73.243.86,
Israel Broadcasting Corporation,2016-12-01T18:41:24Z,Triggerhippie4,
Lebanese flag,2005-11-26T17:42:30Z,204.10.130.187,
Ma'ariv,2004-12-27T15:01:25Z,Deror avi,
Member of the Knesset,2009-06-03T12:31:14Z,Rd232,
Mohamed Washah,,,
Wael Dahdouh,2023-11-02T22:39:04Z,Dsp13,
1959 Israeli municipal elections,2022-09-02T12:43:25Z,Totalstgamer,
1955 Israeli municipal elections,2022-09-02T17:53:56Z,Totalstgamer,
1965 Israeli municipal elections,2022-08-31T23:03:08Z,Totalstgamer,
1920 Assembly of Representatives election,2012-02-14T13:56:20Z,Number 57,
1923 Palestinian Legislative Council election,2012-02-15T13:16:42Z,Number 57,
1950 Israeli municipal elections,2022-09-02T18:59:17Z,Totalstgamer,
1931 Assembly of Representatives election,2012-02-15T13:57:46Z,Number 57,
1944 Assembly of Representatives election,2015-01-11T11:47:22Z,Intelligent Mr Toad,
1978 Israeli municipal elections,2022-06-21T21:47:13Z,Totalstgamer,
1973 Israeli municipal elections,2022-06-29T22:32:41Z,Totalstgamer,
1949 Israeli Constituent Assembly election,2006-11-15T13:23:46Z,Number 57,
1925 Assembly of Representatives election,2012-02-14T16:55:16Z,Number 57,
1969 Israeli municipal elections,2022-07-20T20:51:40Z,Totalstgamer,
1989 Israeli municipal elections,2022-06-17T20:42:36Z,Totalstgamer,
1983 Israeli municipal elections,2022-06-17T22:05:48Z,Totalstgamer,
1993 Israeli municipal elections,2022-06-15T16:34:28Z,Totalstgamer,
1998 Israeli municipal elections,2022-06-11T14:34:43Z,Totalstgamer,
2003 Israeli municipal elections,2022-06-10T08:50:52Z,Totalstgamer,
2008 Israeli municipal elections,2013-02-14T15:38:47Z,Number 57,
2013 Israeli municipal elections,2013-02-14T13:51:12Z,Number 57,
2018 Israeli municipal elections,2018-10-06T13:16:48Z,Samhuddy,
2024 Israeli municipal elections,2023-01-05T16:46:28Z,Chefallen,
Agudat Yisrael,2004-12-12T03:28:20Z,4.234.51.236,
Alignment (Israel),2007-02-17T00:51:57Z,Number 57,
Alternate Prime Minister of Israel,2020-05-20T08:05:50Z,Rami R,
Althing,2002-10-21T10:57:01Z,157.157.150.161,
Arab Democratic Party (Israel),2007-04-22T16:48:59Z,Number 57,
Arab satellite lists,2014-10-04T15:22:01Z,Onceinawhile,
Assembly of North Macedonia,2006-03-24T20:49:21Z,Electionworld,
Assembly of French Polynesia,2005-09-12T09:26:10Z,Citylover,
Assembly of Representatives (Mandatory Palestine),2008-09-26T14:17:46Z,Soman,
Assembly of the Representatives of the People,2014-10-20T06:10:20Z,David O. Johnson,
Assembly of the Republic (Mozambique),2005-12-30T22:04:16Z,Acntx,
Assembly of the Republic (Northern Cyprus),2006-03-24T20:40:01Z,Electionworld,
Assembly of the Republic (Portugal),2004-11-01T06:56:32Z,207.216.178.226,
Assembly of the Republic of Kosovo,2004-10-14T21:26:10Z,Dcabrilo,
Assembly of the Union of the Comoros,2006-01-01T08:23:08Z,Acntx,
Assyrian siege of Jerusalem,2004-10-17T02:47:25Z,69.22.9.172,
Balad (political party),2005-04-10T09:25:15Z,80.185.154.51,
Basic Law: The Knesset,2005-11-23T17:37:32Z,206.47.220.230,
Avi Maoz,2021-04-08T19:43:31Z,Number 57,
Battle for Jerusalem,2006-10-29T23:28:48Z,Unintended~enwiki,
Battle of Jerusalem,2005-02-02T05:08:11Z,Jeremy Bentham,
Cartography of Jerusalem,2018-12-24T22:35:28Z,Onceinawhile,
Center Party (Israel),2005-06-12T07:45:32Z,80.230.202.190,
Bicameralism,2003-04-01T01:02:44Z,Jtdirl,
Chamber of Deputies (Luxembourg),2005-08-31T16:32:09Z,Hajor,
Central Elections Committee,2006-03-19T12:22:48Z,Diderot's Ghost,
Chief Rabbi of Jerusalem,2016-03-21T14:18:19Z,Chesdovi,
Closed list,2004-01-31T01:45:34Z,Dissident,
Comptroller of Israel,2004-06-12T00:45:18Z,Jiang,
Congress of New Caledonia,2006-03-24T22:57:23Z,Electionworld,
City Line (Jerusalem),2013-03-09T01:57:37Z,Midrashah,
City of David (historic),2022-06-17T22:38:22Z,Mellohi!,
Congress of the Federated States of Micronesia,2006-03-24T19:00:42Z,Electionworld,
Congress of the Republic of Guatemala,2004-06-13T04:20:55Z,Hajor,
Congress of the Republic of Peru,2005-03-05T04:40:44Z,Hajor,
Constituent Assembly,2006-08-26T18:09:53Z,CALR,
"Constitution, Law and Justice Committee",2023-03-28T18:38:52Z,Adam080,
Consultative Assembly of Saudi Arabia,2006-03-24T20:31:34Z,Electionworld,
Croatian Parliament,2003-12-12T13:26:05Z,Joy,
Council of Representatives of Iraq,2005-01-29T19:15:37Z,Vzbs34,
Constructive vote of no confidence,2003-04-28T09:54:58Z,Djmutex,
D'Hondt method,2003-07-03T22:49:55Z,DanKeshet,
Degel HaTorah,2005-01-01T12:57:44Z,212.235.86.224,
Dissolution of parliament,2004-05-13T18:28:49Z,Morwen,
Demographic history of Jerusalem,2005-05-16T07:49:57Z,Jgritz,
Dáil Éireann (Irish Republic),2004-06-30T01:19:27Z,Iota,
Electoral system,2001-10-07T22:51:44Z,RobLa,
Dor (political party),2006-03-14T10:39:51Z,Toya,
Election threshold,2019-10-16T20:51:15Z,Wipur,
Emblem of Jerusalem,2007-05-20T13:02:24Z,Brandmeister (old),
Electoral threshold,2002-02-25T15:43:11Z,Conversion script,
Esther Hayut,2015-12-01T08:48:23Z,FTPort,
Federal National Council,2006-03-23T23:24:07Z,Electionworld,
Folketing,2004-01-13T19:31:45Z,Nstenberg,
Frumin House,2021-08-11T11:55:25Z,Dan Palraz,
Froumine House,2011-11-18T07:20:32Z,Midrashah,
General Council (Andorra),2005-06-16T10:09:00Z,217.147.224.170,
General Fono,2006-03-24T23:01:43Z,Electionworld,
Great Assembly,2005-03-15T14:29:26Z,Kuratowski's Ghost,
Givat Ram,2008-01-30T18:18:47Z,Shalom Yechiel,
Gibraltar Parliament,2004-07-15T12:41:54Z,207.69.137.13,
Greater Jerusalem,2008-11-12T14:32:11Z,Colourinthemeaning,
Grand and General Council,2006-03-24T20:33:52Z,Electionworld,
Hadash–Ta'al,2022-09-21T17:26:14Z,PLATEL,
Hardal,2006-10-28T19:07:24Z,Daniel575,
Hatnua,2012-11-28T06:55:47Z,Midrashah,
History of Jerusalem during the Kingdom of Jerusalem,2011-02-06T07:34:58Z,Coin945,
Hellenic Parliament,2005-08-14T05:28:46Z,Www.wikinerds.org,
History of Jerusalem during the Early Muslim period,2020-07-16T18:53:46Z,Arminden,
House of Assembly (Anguilla),2006-03-24T22:45:09Z,Electionworld,
House of Assembly (Turks and Caicos Islands),2006-03-24T23:02:32Z,Electionworld,
House of Assembly of Dominica,2006-01-15T07:17:00Z,Acntx,
House of Representatives (Cyprus),2006-03-24T06:52:48Z,Electionworld,
House of Assembly (Kiribati),2006-03-24T18:42:49Z,Electionworld,
House of Assembly of Saint Vincent and the Grenadines,2005-12-13T08:06:50Z,Acntx,
House of Assembly of the British Virgin Islands,2006-03-24T22:47:14Z,Electionworld,
House of Representatives (Yemen),2006-03-23T23:14:52Z,Electionworld,
Inatsisartut,2004-03-18T19:36:39Z,Mic,
Independent Liberals (Israel),2006-12-21T13:11:50Z,Number 57,
Islamization of Jerusalem,2011-05-25T09:51:43Z,IZAK,
Island Council (Pitcairn),2004-10-25T22:31:59Z,Davidcannon,
Israel Resilience Party,2018-12-28T21:15:35Z,Midrashah,
Israeli Central Elections Committee,2015-08-10T16:01:29Z,Necrothesp,
Israeli Democracy Institute,2007-11-04T05:51:31Z,Acidburn24m,
Israeli Arab,2006-03-28T06:44:57Z,Gidonb,
Israeli Liberal Party,2006-12-14T12:43:10Z,Number 57,
Jerusalem Municipality,2012-08-07T20:28:32Z,פארוק,
James de Rothschild (politician),2006-03-24T14:37:17Z,BrownHairedGirl,
Jerusalem Biblical Zoo,2006-08-16T11:04:06Z,Shmuliko,
Jatiya Sangsad,2004-04-05T08:03:52Z,SD6-Agent,
Judaization of Jerusalem,2009-03-18T11:36:12Z,Yamanam,
Jerusalem during the Second Temple Period,2009-09-04T12:47:04Z,Ariellaw,
Jerusalem in Christianity,2007-02-17T01:33:10Z,Stevertigo,
Jerusalem in Judaism,2007-02-17T01:31:23Z,Stevertigo,
Joint List,2015-01-27T15:54:45Z,Number 57,
Jerusalem in Islam,2007-02-17T01:34:42Z,Stevertigo,
Judicial review,2002-10-24T19:57:29Z,Roadrunner,
King George Street (Jerusalem),2008-11-10T01:23:18Z,Epson291,
Knesset Christian Allies Caucus,2006-08-11T21:55:47Z,Timtom27,
Knesset Land of Israel Caucus,2018-10-26T07:50:49Z,Onceinawhile,
Kitchen Cabinet of Israel,2009-04-19T00:00:13Z,Midrashah,
Knesset Guard,2006-05-29T18:18:00Z,Joshdboz,
Knesset Legal Adviser,2023-08-02T16:53:17Z,Midrashah,
King of Jerusalem,2004-11-02T22:38:39Z,Adam Bishop,
Knesset Yisrael,2015-02-23T18:38:57Z,Yoninah,
"Labor, Welfare and Health Committee",2022-05-06T11:38:22Z,Adam080,
Landtag of Liechtenstein,2006-03-24T12:38:03Z,Wilfried Derksen,
Leader of the Opposition,2003-04-11T01:52:25Z,Jtdirl,
Left Camp of Israel,2007-02-14T16:25:51Z,Number 57,
Leadership Council of Afghanistan,2009-12-30T02:12:15Z,Wikireader41,
Legislative Assembly of Costa Rica,2005-04-23T03:23:16Z,Hajor,
Legislative Assembly of El Salvador,2005-03-15T05:13:54Z,Hajor,
Legislative Assembly of Macau,2005-03-19T02:02:45Z,Fat pig73,
Legislative Assembly of Madeira,2014-02-12T19:25:03Z,Cattus,
Legislative Assembly of Montserrat,2015-07-10T11:00:15Z,Number 57,
Legislative Assembly of Samoa,2006-03-23T23:29:42Z,Electionworld,
Legislative Assembly of the Azores,2009-03-15T15:29:59Z,Cattus,
Legislative Assembly of Tonga,2006-03-23T23:32:05Z,Electionworld,
Legislative Assembly of the Falkland Islands,2006-03-24T22:53:02Z,Electionworld,
Legislative Council of Brunei,2005-08-20T19:22:19Z,81.233.220.208,
Legislative Council of Saint Helena,2006-03-24T22:59:57Z,Electionworld,
Legislative Council of Hong Kong,2003-07-20T22:23:30Z,Roadrunner,
Legislature of Guam,2006-03-24T22:53:47Z,Electionworld,
Legislature of the Marshall Islands,2006-03-24T18:55:12Z,Electionworld,
Legislative Yuan,2002-10-27T00:53:55Z,132.239.16.203,
Legislature,2002-03-14T20:13:29Z,24.93.53.199,
Legislature of the Virgin Islands,2006-04-15T19:21:18Z,Miles530,
Liberal Zionism,2022-07-18T12:05:48Z,Davide King,
List of Arab members of the Knesset,2006-11-19T04:31:40Z,Cheeselouise,
List of Israeli ambassadors,2003-11-12T21:40:17Z,66.160.27.220,
List of legislatures by country,2003-12-19T20:50:21Z,Morwen,
List of members of the eighteenth Knesset,2009-02-12T07:32:23Z,Od Mishehu,
List of members of the eleventh Knesset,2010-02-02T13:20:33Z,Number 57,
List of members of the fifteenth Knesset,2008-11-21T13:02:14Z,Number 57,
List of members of the eighth Knesset,2009-10-23T14:52:18Z,Number 57,
List of members of the first Knesset,2005-12-20T17:13:56Z,YUL89YYZ,
List of members of the fifth Knesset,2009-09-18T12:23:26Z,Number 57,
List of members of the sixth Knesset,2009-09-24T12:05:13Z,Number 57,
List of members of the fourteenth Knesset,2008-12-14T13:36:50Z,Number 57,
List of members of the fourth Knesset,2009-09-07T11:33:00Z,Number 57,
List of members of the nineteenth Knesset,2013-01-22T09:07:04Z,Lihaas,
List of members of the ninth Knesset,2009-12-14T16:13:29Z,Number 57,
List of members of the seventeenth Knesset,2006-03-29T15:01:00Z,80.230.32.208,
List of members of the second Knesset,2009-07-28T19:13:38Z,Number 57,
List of members of the seventh Knesset,2009-06-06T20:31:48Z,Number 57,
List of members of the sixteenth Knesset,2008-10-20T12:32:40Z,Number 57,
List of members of the tenth Knesset,2010-01-13T15:58:09Z,Number 57,
List of members of the third Knesset,2009-08-25T11:46:00Z,Number 57,
List of members of the thirteenth Knesset,2010-02-24T13:11:21Z,Number 57,
List of members of the twenty-fourth Knesset,2021-03-23T18:42:01Z,Shemtov613,
List of members of the twelfth Knesset,2010-02-16T15:53:12Z,Number 57,
List of members of the twenty-second Knesset,2019-09-17T20:49:22Z,Shemtov613,
List of members of the twenty-fifth Knesset,2022-11-05T12:42:54Z,Chessrat,
List of members of the twenty-first Knesset,2017-05-06T09:58:33Z,Triggerhippie4,
List of mosques in Jerusalem,2010-09-02T00:33:27Z,Arab Hafez,
List of members of the twenty-third Knesset,2020-03-02T16:42:20Z,Shemtov613,
List of people from Jerusalem,2017-12-04T07:59:37Z,Triggerhippie4,
Local government in Israel,2007-07-16T07:45:21Z,Tewfik,
List of presidents of Israel,2007-01-23T22:19:42Z,Damifb,
List of songs about Jerusalem,2006-11-17T19:09:06Z,Ynhockey,
Lists of Knesset members,2009-02-17T12:16:33Z,Od Mishehu,
Løgting,2004-03-18T19:30:41Z,Mic,
Mayor of Jerusalem,2004-07-28T20:25:48Z,Humus sapiens,
Mauritanian Parliament,2006-03-24T21:19:43Z,Electionworld,
Moshe Tur-Paz,2021-01-06T01:27:31Z,David O. Johnson,
Ministry of Finance (Israel),2006-09-21T03:20:43Z,Eric1985,
Ministry of National Security (Israel),2010-08-27T02:32:43Z,WhisperToMe,
Moked,2006-01-16T07:33:27Z,Altmany,
Moledet,2002-09-14T23:05:22Z,Renata,
National Assembly (Angola),2006-02-09T13:56:39Z,Bolivian Unicyclist,
Multicameralism,2008-04-13T08:19:24Z,Nagelfar,
Names of Jerusalem,2004-06-14T03:39:28Z,Gilgamesh~enwiki,
National Assembly (Azerbaijan),2006-02-09T18:18:34Z,Bolivian Unicyclist,
National Assembly (Armenia),2006-02-09T14:04:47Z,Bolivian Unicyclist,
National Assembly (Artsakh),2006-03-24T20:43:39Z,Electionworld,
National Assembly (Benin),2006-03-20T20:45:40Z,Acntx,
National Assembly (Botswana),2023-01-11T22:39:06Z,Aficionado538,
National Assembly (Cape Verde),2005-12-28T10:54:49Z,Acntx,
National Assembly (Eritrea),2006-03-24T06:50:20Z,Electionworld,
National Assembly (Central African Republic),2006-01-03T08:09:33Z,Acntx,
National Assembly (Chad),2006-03-24T06:46:37Z,Electionworld,
National Assembly (Ecuador),2010-10-01T14:22:58Z,Boud,
National Assembly (Djibouti),2005-08-31T16:16:16Z,Hajor,
National Assembly (Communist Czechoslovakia),2017-11-26T20:42:44Z,ThecentreCZ,
National Assembly (Guinea),2006-01-05T06:50:08Z,Acntx,
National Assembly (Guyana),2006-03-24T06:55:29Z,Electionworld,
National Assembly (Kuwait),2004-01-12T14:37:25Z,206.131.130.132,
National Assembly (Mali),2006-01-16T09:32:59Z,Acntx,
National Assembly (Niger),2006-01-01T07:40:48Z,Acntx,
National Assembly (Malawi),2006-03-24T18:49:21Z,Acntx,
National Assembly (Nicaragua),2005-03-15T16:19:48Z,Hajor,
National Assembly (Mauritius),2006-03-24T18:58:29Z,Electionworld,
National Assembly (Panama),2004-05-03T04:28:33Z,Hajor,
